id_usuario,Nome,Telefone,E-mail
34656897852,João Abreu,11968396521,joao@gmail.com
65973129834,Carlos Shiroma,11982539064,shiroma@hotmail.com
87964321058,Matheus Silva,11958643721,matheus@gmail.com
85634921165,Ana Oliveira,11935482976,ana.oliveira@gmail.com
97465382901,Felipe Costa,11987654321,felipe.costa@yahoo.com.br
48372619304,Bruna Almeida,11964325789,bruna.almeida@outlook.com
72836450983,Lucas Pereira,11937654980,lucas.pereira@gmail.com
10298374622,Mariana Ribeiro,11943217654,mariana.ribeiro@uol.com.br
56284917392,Rafael Souza,11976543210,rafael.souza@hotmail.com
24983674821,Renata Lima,11925836497,renata.lima@gmail.com
48976219830,Tiago Santos,11965748392,tiago.santos@outlook.com
98576128467,Patricia Rocha,11987629123,patricia.rocha@yahoo.com
63847129903,Gustavo Oliveira,11931248756,gustavo.oliveira@gmail.com
79263415801,Fernanda Costa,11961234897,fernanda.costa@uol.com.br
29876130255,Marcos Gomes,11998765432,marcos.gomes@hotmail.com
84295741369,Beatriz Martins,11934657890,beatriz.martins@gmail.com
10247382056,Juliana Cardoso,11976543123,juliana.cardoso@outlook.com
84735629174,Roberto Silva,11945367289,roberto.silva@gmail.com
20489736520,Adriana Souza,11932645780,adriana.souza@hotmail.com
96784521342,Leonardo Lima,11983457290,leonardo.lima@uol.com.br
56284913765,Cristiano Rocha,11965478902,cristiano.rocha@gmail.com
84736512904,Michele Pereira,11943217689,michele.pereira@yahoo.com.br
63927458629,Edson Ferreira,11931827654,edson.ferreira@gmail.com
73618429508,Paula Ribeiro,11965432897,paula.ribeiro@outlook.com
10482937651,José Alves,11998765431,jose.alves@uol.com.br
69837456102,Joana Martins,11952347698,joana.martins@gmail.com
97834567129,Guilherme Mendes,11943259874,guilherme.mendes@hotmail.com
29048374657,Larissa Oliveira,11954382901,larissa.oliveira@gmail.com
47935681029,Fábio Costa,11965437892,fabio.costa@outlook.com
60239478516,Aline Rocha,11976534982,aline.rocha@uol.com.br
20394876502,Thiago Gomes,11987654322,thiago.gomes@gmail.com
84956123076,Viviane Silva,11965489732,viviane.silva@hotmail.com
37485910274,Cláudia Lima,11956743892,claudia.lima@gmail.com
58392047105,Renato Santos,11947653902,renato.santos@outlook.com
27483759201,Mário Costa,11998765433,mario.costa@uol.com.br
92837465019,Carla Souza,11986432097,carla.souza@gmail.com
34689120374,Aline Almeida,11932758490,aline.almeida@outlook.com
84927386120,Samuel Pereira,11965487129,samuel.pereira@yahoo.com
27461823950,Roberta Rocha,11976543210,roberta.rocha@gmail.com
52716384920,Patrícia Gomes,11945328674,patricia.gomes@uol.com.br
20465837281,Victor Silva,11937659012,victor.silva@hotmail.com
97836152094,Márcia Cardoso,11987463258,marcia.cardoso@gmail.com
36482957102,André Lima,11998765434,andre.lima@uol.com.br
23894756139,Daniela Pereira,11965437891,daniela.pereira@yahoo.com
58619327409,Leonardo Souza,11954387290,leonardo.souza@gmail.com
10298475362,Juliana Lima,11943269857,juliana.lima@outlook.com
47283956105,Lúcia Rocha,11976543124,lucia.rocha@uol.com.br
25947836912,Marcelo Santos,11943287654,marcelo.santos@gmail.com
89374651928,Silvana Gomes,11932486579,silvana.gomes@hotmail.com
73826187403,Eduardo Pereira,11976542890,eduardo.pereira@uol.com.br
